created_at,favorite_count,full_text,category,ed_risk
Sun Jun 16 10:31:45 +0000 2024,1,diethingy distraction works trust me kalau buat mau sekenyang apapun abis makan tetep craving manis nah biasanya distraksiin kepikiran makanan terus in this context nonton anime terus jgn cemilan keliatan mata ntar makin craving,B,1
Fri Apr 12 12:30:49 +0000 2024,0,makan terus nyesel kemudian,B,1
Fri Apr 21 23:37:39 +0000 2023,0,kepikiran banget si moka muntahin makanan kayanya enak badan abis vaksin minum obat cacing combo banget gitu,B,1
Fri Aug 02 01:28:47 +0000 2024,0,kemaren binge eating sekarang malah males makan hdeh,B,1
Fri Aug 04 06:29:02 +0000 2023,1,bisanya abis makan siang aslam langsung naik terus muntahin makanan makan salah makan salah anj,B,1
Fri Aug 04 10:46:25 +0000 2023,0,rasanya pgn muntahin makanan terus makan lu [URL],B,1
Fri Aug 09 10:20:01 +0000 2024,0,kumat binge eating semoga next partner w masalah sama bbw wuakakak orgil,B,1
Fri Aug 11 02:30:56 +0000 2023,0,muntah time perut kosong nih memang palat hahahha pahit siakkk suka betul,B,1
Fri Aug 16 15:00:58 +0000 2024,0,gamau binge eating kapan stress,B,1
Fri Dec 13 15:05:47 +0000 2024,0,merasa bersalah makan pisang keju coklat malemmalem gini [URL],B,1
Fri Dec 20 12:34:56 +0000 2024,0,siang ngemil teruss takut gendut hiks,B,1
Fri Dec 20 12:37:37 +0000 2024,0,akhir akhir suka binge eating,B,1
Fri Dec 23 05:20:00 +0000 2022,0,sedang merasa bersalah makan pudding,B,1
Fri Dec 27 11:28:08 +0000 2024,0,pagi tbtb mual banget mau muntahin makanan mahal hari,B,1
Fri Dec 27 15:37:14 +0000 2024,0,y w dilahirkan orng kalau stress malah binge eating mau ky orng orng stress kurus ajg,B,1
Fri Feb 07 15:39:48 +0000 2025,0,makin kesini makin ngemil terus bjirlahh,B,1
Fri Feb 07 18:02:57 +0000 2025,0,gangguan tidur gangguan makan,B,1
Fri Feb 07 20:52:46 +0000 2025,0,gangguan makan skrng gangguan tidur,B,1
Fri Feb 07 23:21:45 +0000 2025,0,kalau bangun pagi selalu lapar bgtttttt,B,1
Fri Feb 14 06:14:48 +0000 2025,0,baru seminggu dirumah nih pipi bengkak kerjaannya ngemil terus,B,1
Fri Feb 14 17:00:55 +0000 2025,0,kebiasaan banget jam segini selalu lapar ‍,B,1
Fri Feb 17 02:20:38 +0000 2023,0,jam malem craving for indomi parah lewat jam segitu pengen jamjam setan memang,B,1
Fri Feb 21 03:12:45 +0000 2025,0,i pernah makan konjac dolphin and tercekik dulu masa kerja office i jarang lunch berat so tahan lapar jelly sgt berkesan ye sekali tgh makan entah mcm mana i tercekik and i berjaya muntahkan balik susah nak explain mcm percaya i tercekik benda,B,1
Fri Feb 21 16:29:14 +0000 2025,0,selalu lapar jam segini,B,1
Fri Feb 21 18:43:40 +0000 2025,0,selalu lapar jam segini knpa yh,B,1
Fri Feb 23 10:07:11 +0000 2024,0,is it just me or yall having binge eating habits kalau cemilan nda berhenti nyomot,B,1
Fri Feb 28 07:55:36 +0000 2025,2,sekarang bingeeating stress ie stress makan selalu,B,1
Fri Feb 28 08:44:55 +0000 2025,0,pulang dookki mampir dulu tempat mingyu bayangin ketemu mingyu begini kondisi perut mau meledak tida merasa bersalah makan porsi setaun jadi malu sama mingyu [URL],B,1
Fri Jan 03 14:56:57 +0000 2025,0,lapar kayaknya memang beli roti deh jam segini selalu lapar,B,1
Fri Jan 10 06:24:33 +0000 2025,0,makan kripik berhenti,B,1
Fri Jan 10 09:04:21 +0000 2025,0,ohhh gini rasanya perut begah bawaannya pengen ngemil terus,B,1
Fri Jan 10 14:18:47 +0000 2025,0,iniapasi paham mau muntahin semua makanan makan seminggu lalu rasanya,B,1
Fri Jan 17 15:46:41 +0000 2025,0,selalu lapar jam segini,B,1
Fri Jan 19 00:00:59 +0000 2024,0,setuju banget ngeliat kakak dulu stress berat badan farzana naik selalu muntahin makanan terus jadi mikir ternyata sekecil makanan tuh se drama buat ngasih anak kaya segampang,B,1
Fri Jan 24 04:52:26 +0000 2025,0,tetap paksa masuk jangan muntah plis mbung lu mah kerjaannya muntahin makanan terus kumat gini,B,1
Fri Jan 24 15:17:15 +0000 2025,0,me makan berhenti selalu lapar belakangan my mom kamu mau datang bulan,B,1
Fri Jan 24 20:40:47 +0000 2025,0,bangun tidur ku terus ngemil,B,1
Fri Jan 31 05:28:11 +0000 2025,0,pengen makan mi instan menyusui biasanya pas makan nikmat banget rasa bersalah makan semingguan galaunya,B,1
Fri Jan 31 12:06:01 +0000 2025,0,selalu lapar tengah malem,B,1
Fri Jan 31 17:14:23 +0000 2025,0,jam sgini selalu lapar tbtb cemilan,B,1
Fri Jan 31 23:16:23 +0000 2025,0,jam segini tuh lapar banget dipaksa makan muntah,B,1
Fri Jul 05 04:25:43 +0000 2024,0,enak banget ngemilin coklat ampun dah berhenti makan sebatang,B,1
Fri Jul 05 15:58:55 +0000 2024,505,muntahin balik deh makanan amp minuman klean raup buat nafkah sekeluarga pake uang pajak masyarakat ikhlas sama sekali deh kalau cuma dipake buat tenaga mbacot mendasar amp muter² doang ngeles soal kredibilitas klean,B,1
Fri Jul 19 00:53:26 +0000 2024,0,iya betul diajarin kecil jangan kaya ponakan pernah muntahin makanan percis piring pake buat makan kebiasaan banget tuh krna makanan enak langsung dimuntahin,B,1
Fri Jun 04 02:12:00 +0000 2021,2,parah semalem craving cakes,B,1
Fri Jun 24 07:39:51 +0000 2022,0,padahal craving parah hadeh,B,1
Fri Mar 15 11:52:00 +0000 2024,1,muntahin makanan ed muntahin makanan kepenuhan,B,1
Fri Mar 15 18:18:10 +0000 2024,1,lampiasin stress apa biasanya binge eating kan puasa,B,1
Fri Mar 21 15:35:51 +0000 2025,0,merasa bersalah makan nasi jam segini matian diet berhasil turun kilogram,B,1
Fri Mar 22 20:25:32 +0000 2024,0,jadi cewe kalau otw red day beberapa hari mau makan terus always ngerasa bersalah makan i just hated it soooow much,B,1
Fri May 17 09:57:39 +0000 2024,0,emg mau muntahin makanan gara sedih anjg,B,1
Fri May 20 22:11:05 +0000 2022,0,damn lapar banget craving makin parah hahahah,B,1
Fri May 24 15:19:09 +0000 2024,0,sensitif banget skrang nangis sesegukan cuma ggra muntahin makanan abis dibeliin jauh sama suami tega ajaa cuma singgah lambung bentar suami bilang gak papa ttp nangiiisss,B,1
Fri Nov 04 07:49:42 +0000 2022,0,kalian kalau pms suka craving makan manis coklat gtu gasi padahal harihari biasa sama coklat craving parah hampir order whole cake padahal mah alone,B,1
Fri Nov 08 09:21:52 +0000 2024,1,mau makan banyak banyak banyak berhenti makan mau makan seluruh dunia,B,1
Fri Oct 02 15:27:13 +0000 2020,0,apaka normal merasa bersalah makan,B,1
Fri Oct 04 13:38:47 +0000 2024,0,aw poor self control makan terus,B,1
Fri Oct 11 04:00:37 +0000 2024,3,fak binge eating banget,B,1
Fri Sep 06 04:28:56 +0000 2024,0,bulimia bagaimana dulu stres pengen muntahin makanan selalu,B,1
Fri Sep 06 17:24:35 +0000 2024,0,graaah balik binge eating,B,1
Mon Apr 01 03:29:39 +0000 2024,0,sebenernya makan mie seburuk sih masalahnya sekali makan trs²an berhenti mieee selalu jdi better gausah,B,1
Mon Apr 01 10:28:09 +0000 2024,0,lapar banget sumpah gemeter banget mana muntahin makanan semalam,B,1
Mon Apr 05 01:11:04 +0000 2021,2,pernah merasa bersalah makan mie instan,B,1
Mon Apr 10 02:14:54 +0000 2023,0,bukan avoid suka minum kena puasa petangmalam pergi klinik esok tangan kaki dah terketar lapar perut kosong masuk air gula manis terus rasa nak loya nak termuntah sangat lepastu nak pitam,B,1
Mon Apr 10 11:19:14 +0000 2023,0,muak banget rasanya muntahin makanan masuk,B,1
Mon Apr 10 11:47:29 +0000 2023,0,perut perih kerjaan cuma muntahin makanan doang,B,1
Mon Apr 10 16:05:30 +0000 2023,0,belakangan kacau parah antimo cutting muntahin makanan selalu belajar tidur belasan jam,B,1
Mon Apr 15 03:21:42 +0000 2024,1,menstrual cycle of mine binge eating mood swings physical ill masuk fase minggu dibilang tyfus observasi hari sembuh terus weekend alergi sebadan gatau alergen nya apa terus minum obat alergi bikin ngantuk tiap,B,1
Mon Apr 26 11:40:09 +0000 2021,2,nasi pertepungan tetep kenyang puas jelas dah membantu mengatasi craving parah makanan true hunger here i come good bye binge eating disorder [URL],B,1
